date,ticker,price
2015-03-12,MSFT,35.21
2015-03-12,NVDA,0.55
2015-03-12,PG,60.81
2015-03-12,XOM,52.94
2015-03-13,AAPL,27.51
2015-03-13,AMZN,18.53
2015-03-13,GOOGL,27.44
2015-03-13,JNJ,73.56
2015-03-13,JPM,45.4
2015-03-13,META,77.51
2015-03-13,MSFT,35.52
2015-03-13,NVDA,0.55
2015-03-13,PG,60.61
2015-03-13,XOM,52.72
2015-03-16,AAPL,27.81
2015-03-16,AMZN,18.67
2015-03-16,GOOGL,27.87
2015-03-16,JNJ,74.93
2015-03-16,JPM,46.03
2015-03-16,META,77.53
2015-03-16,MSFT,35.68
2015-03-16,NVDA,0.55
2015-03-16,PG,61.9
2015-03-16,XOM,53.28
2015-03-17,AAPL,28.27
2015-03-17,AMZN,18.6
2015-03-17,GOOGL,27.67
2015-03-17,JNJ,74.06
2015-03-17,JPM,45.86
2015-03-17,META,78.81
2015-03-17,MSFT,35.8
2015-03-17,NVDA,0.56
2015-03-17,PG,61.37
2015-03-17,XOM,52.85
2015-03-18,AAPL,28.59
2015-03-18,AMZN,18.76
2015-03-18,GOOGL,28.1
2015-03-18,JNJ,75.23
2015-03-18,JPM,45.96
2015-03-18,META,80.35
2015-03-18,MSFT,36.49
2015-03-18,NVDA,0.55
2015-03-18,PG,62.04
2015-03-18,XOM,54.1
2015-03-19,AAPL,28.38
2015-03-19,AMZN,18.66
2015-03-19,GOOGL,27.97
2015-03-19,JNJ,75.4
2015-03-19,JPM,45.55
2015-03-19,META,82.18
2015-03-19,MSFT,36.3
2015-03-19,NVDA,0.56
2015-03-19,PG,61.76
2015-03-19,XOM,53.06
2015-03-20,AAPL,28.02
2015-03-20,AMZN,18.92
2015-03-20,GOOGL,28.04
2015-03-20,JNJ,75.92
2015-03-20,JPM,45.96
2015-03-20,META,83.22
2015-03-20,MSFT,36.81
2015-03-20,NVDA,0.57
2015-03-20,PG,62.77
2015-03-20,XOM,53.14
2015-03-23,AAPL,28.31
2015-03-23,AMZN,18.76
2015-03-23,GOOGL,28.06
2015-03-23,JNJ,76.35
2015-03-23,JPM,45.51
2015-03-23,META,83.84
2015-03-23,MSFT,36.79
2015-03-23,NVDA,0.55
2015-03-23,PG,62.86
2015-03-23,XOM,53.7
2015-03-24,AAPL,28.2
2015-03-24,AMZN,18.7
2015-03-24,GOOGL,28.66
2015-03-24,JNJ,75.6
2015-03-24,JPM,45.0
2015-03-24,META,84.72
2015-03-24,MSFT,36.83
2015-03-24,NVDA,0.54
2015-03-24,PG,62.16
2015-03-24,XOM,53.13
2015-03-25,AAPL,27.46
2015-03-25,AMZN,18.55
2015-03-25,GOOGL,28.14
2015-03-25,JNJ,74.4
2015-03-25,JPM,44.37
2015-03-25,META,82.34
2015-03-25,MSFT,35.59
2015-03-25,NVDA,0.51
2015-03-25,PG,61.49
2015-03-25,XOM,53.34
2015-03-26,AAPL,27.65
2015-03-26,AMZN,18.37
2015-03-26,GOOGL,27.97
2015-03-26,JNJ,74.25
2015-03-26,JPM,44.32
2015-03-26,META,82.43
2015-03-26,MSFT,35.38
2015-03-26,NVDA,0.51
2015-03-26,PG,60.85
2015-03-26,XOM,53.0
2015-03-27,AAPL,27.43
2015-03-27,AMZN,18.53
2015-03-27,GOOGL,27.67
2015-03-27,JNJ,74.4
2015-03-27,JPM,44.32
2015-03-27,META,82.72
2015-03-27,MSFT,35.17
2015-03-27,NVDA,0.51
2015-03-27,PG,60.97
2015-03-27,XOM,52.54
2015-03-30,AAPL,28.13
2015-03-30,AMZN,18.73
2015-03-30,GOOGL,27.85
2015-03-30,JNJ,75.29
2015-03-30,JPM,45.37
2015-03-30,META,82.62
2015-03-30,MSFT,35.16
2015-03-30,NVDA,0.52
2015-03-30,PG,61.27
2015-03-30,XOM,53.83
2015-03-31,AAPL,27.69
2015-03-31,AMZN,18.6
2015-03-31,GOOGL,27.53
2015-03-31,JNJ,74.59
2015-03-31,JPM,45.09
2015-03-31,META,81.65
2015-03-31,MSFT,34.91
2015-03-31,NVDA,0.5
2015-03-31,PG,60.7
2015-03-31,XOM,53.43
2015-04-01,AAPL,27.65
2015-04-01,AMZN,18.51
2015-04-01,GOOGL,27.27
2015-04-01,JNJ,73.51
2015-04-01,JPM,44.92
2015-04-01,META,81.1
2015-04-01,MSFT,34.96
2015-04-01,NVDA,0.51
2015-04-01,PG,60.98
2015-04-01,XOM,53.09
2015-04-02,AAPL,27.89
2015-04-02,AMZN,18.61
2015-04-02,GOOGL,26.86
2015-04-02,JNJ,73.88
2015-04-02,JPM,45.34
2015-04-02,META,80.99
2015-04-02,MSFT,34.59
2015-04-02,NVDA,0.51
2015-04-02,PG,61.06
2015-04-02,XOM,52.99
2015-04-06,AAPL,28.34
2015-04-06,AMZN,18.85
2015-04-06,GOOGL,26.99
2015-04-06,JNJ,73.52
2015-04-06,JPM,45.31
2015-04-06,META,81.87
2015-04-06,MSFT,35.67
2015-04-06,NVDA,0.52
2015-04-06,PG,61.51
2015-04-06,XOM,53.51
2015-04-07,AAPL,28.05
2015-04-07,AMZN,18.72
2015-04-07,GOOGL,27.04
2015-04-07,JNJ,74.22
2015-04-07,JPM,45.59
2015-04-07,META,81.75
2015-04-07,MSFT,35.65
2015-04-07,NVDA,0.53
2015-04-07,PG,61.03
2015-04-07,XOM,53.9
2015-04-08,AAPL,27.95
2015-04-08,AMZN,19.06
2015-04-08,GOOGL,27.24
2015-04-08,JNJ,74.26
2015-04-08,JPM,45.74
2015-04-08,META,81.71
2015-04-08,MSFT,35.56
2015-04-08,NVDA,0.53
2015-04-08,PG,61.31
2015-04-08,XOM,52.84
2015-04-09,AAPL,28.17
2015-04-09,AMZN,19.18
2015-04-09,GOOGL,27.2
2015-04-09,JNJ,75.13
2015-04-09,JPM,46.06
2015-04-09,META,81.6
2015-04-09,MSFT,35.61
2015-04-09,NVDA,0.54
2015-04-09,PG,61.4
2015-04-09,XOM,53.21
2015-04-10,AAPL,28.29
2015-04-10,AMZN,19.13
2015-04-10,GOOGL,27.22
2015-04-10,JNJ,75.67
2015-04-10,JPM,46.23
2015-04-10,META,81.47
2015-04-10,MSFT,35.82
2015-04-10,NVDA,0.55
2015-04-10,PG,61.74
2015-04-10,XOM,53.78
2015-04-13,AAPL,28.23
2015-04-13,AMZN,19.12
2015-04-13,GOOGL,27.23
2015-04-13,JNJ,74.55
2015-04-13,JPM,46.51
2015-04-13,META,82.43
2015-04-13,MSFT,35.85
2015-04-13,NVDA,0.54
2015-04-13,PG,61.8
2015-04-13,XOM,53.64
2015-04-14,AAPL,28.11
2015-04-14,AMZN,19.26
2015-04-14,GOOGL,26.79
2015-04-14,JNJ,74.53
2015-04-14,JPM,47.23
2015-04-14,META,82.94
2015-04-14,MSFT,35.76
2015-04-14,NVDA,0.54
2015-04-14,PG,61.92
2015-04-14,XOM,54.46
2015-04-15,AAPL,28.22
2015-04-15,AMZN,19.17
2015-04-15,GOOGL,26.85
2015-04-15,JNJ,74.59
2015-04-15,JPM,48.11
2015-04-15,META,82.14
2015-04-15,MSFT,36.28
2015-04-15,NVDA,0.55
2015-04-15,PG,61.86
2015-04-15,XOM,55.37
2015-04-16,AAPL,28.08
2015-04-16,AMZN,19.3
2015-04-16,GOOGL,26.97
2015-04-16,JNJ,73.99
2015-04-16,JPM,47.81
2015-04-16,META,81.74
2015-04-16,MSFT,36.19
2015-04-16,NVDA,0.54
2015-04-16,PG,61.85
2015-04-16,XOM,55.15
2015-04-17,AAPL,27.77
2015-04-17,AMZN,18.78
2015-04-17,GOOGL,26.44
2015-04-17,JNJ,73.83
2015-04-17,JPM,47.08
2015-04-17,META,80.22
2015-04-17,MSFT,35.73
2015-04-17,NVDA,0.53
2015-04-17,PG,61.13
2015-04-17,XOM,54.64
2015-04-20,AAPL,28.4
2015-04-20,AMZN,19.48
2015-04-20,GOOGL,27.02
2015-04-20,JNJ,74.3
2015-04-20,JPM,47.38
2015-04-20,META,82.51
2015-04-20,MSFT,36.84
2015-04-20,NVDA,0.53
2015-04-20,PG,61.38
2015-04-20,XOM,54.84
2015-04-21,AAPL,28.25
2015-04-21,AMZN,19.56
2015-04-21,GOOGL,26.94
2015-04-21,JNJ,74.37
2015-04-21,JPM,46.69
2015-04-21,META,83.04
2015-04-21,MSFT,36.61
2015-04-21,NVDA,0.53
2015-04-21,PG,61.54
2015-04-21,XOM,54.61
2015-04-22,AAPL,28.63
2015-04-22,AMZN,19.49
2015-04-22,GOOGL,27.25
2015-04-22,JNJ,74.46
2015-04-22,JPM,47.16
2015-04-22,META,84.04
2015-04-22,MSFT,36.91
2015-04-22,NVDA,0.54
2015-04-22,PG,61.55
2015-04-22,XOM,54.98
2015-04-23,AAPL,28.86
2015-04-23,AMZN,19.5
2015-04-23,GOOGL,27.66
2015-04-23,JNJ,74.48
2015-04-23,JPM,47.05
2015-04-23,META,81.84
2015-04-23,MSFT,37.21
2015-04-23,NVDA,0.54
2015-04-23,PG,60.44
2015-04-23,XOM,55.03
2015-04-24,AAPL,29.0
2015-04-24,AMZN,22.25
2015-04-24,GOOGL,28.47
2015-04-24,JNJ,74.94
2015-04-24,JPM,46.9
2015-04-24,META,80.96
2015-04-24,MSFT,41.1
2015-04-24,NVDA,0.53
2015-04-24,PG,60.48
2015-04-24,XOM,54.67
2015-04-27,AAPL,29.52
2015-04-27,AMZN,21.93
2015-04-27,GOOGL,28.09
2015-04-27,JNJ,74.57
2015-04-27,JPM,46.71
2015-04-27,META,81.34
2015-04-27,MSFT,41.23
2015-04-27,NVDA,0.53
2015-04-27,PG,60.18
2015-04-27,XOM,54.69
2015-04-28,AAPL,29.06
2015-04-28,AMZN,21.47
2015-04-28,GOOGL,28.01
2015-04-28,JNJ,74.69
2015-04-28,JPM,47.02
2015-04-28,META,80.12
2015-04-28,MSFT,42.2
2015-04-28,NVDA,0.54
2015-04-28,PG,60.05
2015-04-28,XOM,55.19
2015-04-29,AAPL,28.63
2015-04-29,AMZN,21.47
2015-04-29,GOOGL,27.86
2015-04-29,JNJ,74.43
2015-04-29,JPM,47.65
2015-04-29,META,79.91
2015-04-29,MSFT,42.12
2015-04-29,NVDA,0.53
2015-04-29,PG,59.62
2015-04-29,XOM,55.24
2015-04-30,AAPL,27.85
2015-04-30,AMZN,21.09
2015-04-30,GOOGL,27.23
2015-04-30,JNJ,73.55
2015-04-30,JPM,47.4
2015-04-30,META,78.22
2015-04-30,MSFT,41.76
2015-04-30,NVDA,0.53
2015-04-30,PG,59.37
2015-04-30,XOM,54.92
2015-05-01,AAPL,28.7
2015-05-01,AMZN,21.14
2015-05-01,GOOGL,27.35
2015-05-01,JNJ,74.24
2015-05-01,JPM,47.66
2015-05-01,META,78.44
2015-05-01,MSFT,41.77
2015-05-01,NVDA,0.55
2015-05-01,PG,59.95
2015-05-01,XOM,55.85
2015-05-04,AAPL,28.64
2015-05-04,AMZN,21.15
2015-05-04,GOOGL,27.43
2015-05-04,JNJ,74.4
2015-05-04,JPM,48.49
2015-05-04,META,78.26
2015-05-04,MSFT,41.41
2015-05-04,NVDA,0.54
2015-05-04,PG,60.0
2015-05-04,XOM,56.01
2015-05-05,AAPL,28.0
2015-05-05,AMZN,21.06
2015-05-05,GOOGL,26.95
2015-05-05,JNJ,73.77
2015-05-05,JPM,48.25
2015-05-05,META,77.02
2015-05-05,MSFT,40.86
2015-05-05,NVDA,0.53
2015-05-05,PG,59.79
2015-05-05,XOM,55.7
2015-05-06,AAPL,27.82
2015-05-06,AMZN,20.95
2015-05-06,GOOGL,26.55
2015-05-06,JNJ,73.53
2015-05-06,JPM,47.89
2015-05-06,META,77.56
2015-05-06,MSFT,39.73
2015-05-06,NVDA,0.53
2015-05-06,PG,60.03
2015-05-06,XOM,55.44
2015-05-07,AAPL,28.0
2015-05-07,AMZN,21.34
2015-05-07,GOOGL,26.9
2015-05-07,JNJ,73.89
2015-05-07,JPM,48.33
2015-05-07,META,77.89
2015-05-07,MSFT,40.09
2015-05-07,NVDA,0.54
2015-05-07,PG,59.88
2015-05-07,XOM,55.07
2015-05-08,AAPL,28.52
2015-05-08,AMZN,21.68
2015-05-08,GOOGL,27.24
2015-05-08,JNJ,75.23
2015-05-08,JPM,49.07
2015-05-08,META,77.97
2015-05-08,MSFT,40.99
